FacilityName,Hours,TAT,Footfalls
Bliss Medical Centre Ol Kalau,2am,0.0,0.0
Bliss Medical Centre Ol Kalau,3am,0.0,0.0
Bliss Medical Centre Ol Kalau,4am,0.0,0.0
Bliss Medical Centre Ol Kalau,5am,0.0,0.0
Bliss Medical Centre Ol Kalau,6am,0.0,0.0
Bliss Medical Centre Ol Kalau,7am,0.0,0.0
Bliss Medical Centre Ol Kalau,8am,0.0,0.0
Bliss Medical Centre Ol Kalau,9am,23.55,29.0
Bliss Medical Centre Ol Kalau,10am,39.91,76.0
Bliss Medical Centre Ol Kalau,11am,41.47,83.0
Bliss Medical Centre Ol Kalau,12pm,48.89,82.0
Bliss Medical Centre Ol Kalau,1pm,44.69,68.0
Bliss Medical Centre Ol Kalau,2pm,57.4,53.0
Bliss Medical Centre Ol Kalau,3pm,59.35,71.0
Bliss Medical Centre Ol Kalau,4pm,56.55,76.0
Bliss Medical Centre Ol Kalau,5pm,48.25,69.0
Bliss Medical Centre Ol Kalau,6pm,61.27,30.0
Bliss Medical Centre Ol Kalau,7pm,75.5,2.0
Bliss Medical Centre Ol Kalau,8pm,0.0,0.0
Bliss Medical Centre Ol Kalau,9pm,0.0,0.0
Bliss Medical Centre Ol Kalau,10pm,0.0,0.0
Bliss Medical Centre Ol Kalau,11pm,0.0,0.0
Bliss Medical Centre Webuye,12am,0.0,0.0
Bliss Medical Centre Webuye,1am,0.0,0.0
Bliss Medical Centre Webuye,2am,0.0,0.0
Bliss Medical Centre Webuye,3am,0.0,0.0
Bliss Medical Centre Webuye,4am,0.0,0.0
Bliss Medical Centre Webuye,5am,0.0,0.0
Bliss Medical Centre Webuye,6am,0.0,0.0
Bliss Medical Centre Webuye,7am,0.0,0.0
Bliss Medical Centre Webuye,8am,0.0,0.0
Bliss Medical Centre Webuye,9am,20.33,3.0
Bliss Medical Centre Webuye,10am,30.08,24.0
Bliss Medical Centre Webuye,11am,29.24,33.0
Bliss Medical Centre Webuye,12pm,38.11,35.0
Bliss Medical Centre Webuye,1pm,38.39,23.0
Bliss Medical Centre Webuye,2pm,58.35,17.0
Bliss Medical Centre Webuye,3pm,54.23,35.0
Bliss Medical Centre Webuye,4pm,73.62,26.0
Bliss Medical Centre Webuye,5pm,95.63,27.0
Bliss Medical Centre Webuye,6pm,15.67,3.0
Bliss Medical Centre Webuye,7pm,0.0,0.0
Bliss Medical Centre Webuye,8pm,0.0,0.0
Bliss Medical Centre Webuye,9pm,0.0,0.0
Bliss Medical Centre Webuye,10pm,0.0,0.0
Bliss Medical Centre Webuye,11pm,0.0,0.0
Bliss Medical Centre Moi Avenue,12am,33.0,6.0
Bliss Medical Centre Moi Avenue,1am,29.29,7.0
Bliss Medical Centre Moi Avenue,2am,72.0,5.0
Bliss Medical Centre Moi Avenue,3am,17.0,4.0
Bliss Medical Centre Moi Avenue,4am,50.4,5.0
Bliss Medical Centre Moi Avenue,5am,27.57,7.0
Bliss Medical Centre Moi Avenue,6am,38.48,25.0
Bliss Medical Centre Moi Avenue,7am,44.33,54.0
Bliss Medical Centre Moi Avenue,8am,54.77,56.0
Bliss Medical Centre Moi Avenue,9am,73.0,96.0
Bliss Medical Centre Moi Avenue,10am,77.9,109.0
Bliss Medical Centre Moi Avenue,11am,80.06,177.0
Bliss Medical Centre Moi Avenue,12pm,86.54,199.0
Bliss Medical Centre Moi Avenue,1pm,92.69,188.0
Bliss Medical Centre Moi Avenue,2pm,102.33,192.0
Bliss Medical Centre Moi Avenue,3pm,120.61,209.0
Bliss Medical Centre Moi Avenue,4pm,137.53,195.0
